Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712801461.08,0,0,31.0,2.0,4.0,4.0,31.971210937499997,27.9363454557852,1003.2175309085305,83.86399946900578,234395.5
1712801463.02,0,0,36.0,2.0,4.0,4.0,31.99103515625,27.916102510840872,1003.2033448421139,83.98306427901437,232983.0
1712801465.05,0,0,35.5,2.0,4.0,4.0,31.99875,27.900321548379655,1003.2047785624267,83.97103088657241,236328.5
1712801467.02,0,0,38.5,2.0,4.0,4.0,32.008320312500004,27.88743476133607,1003.2075343411432,83.94790134106162,239076.0
1712801469.06,0,0,40.5,1.5,2.5,3.5,32.01994140625,27.87472081382367,1003.2067271357555,83.95467628768696,239506.0
1712801471.0,0,0,40.5,1.5,2.5,3.5,32.02970703125,27.856377469837565,1003.2063327316887,83.95798656031204,241350.5
1712801473.05,0,0,41.0,1.0,2.5,3.5,32.04474609375,27.838477282694207,1003.206817920837,83.95391431696831,240825.5
1712801475.02,0,0,34.0,1.0,2.5,3.5,32.06076171875,27.831607539092147,1003.2097793767609,83.92905852248491,239332.0
1712801477.05,0,0,35.5,1.0,3.0,4.0,32.080585937500004,27.81958301792821,1003.2025262190175,83.98993511390287,236330.5
1712801479.03,0,0,35.5,1.0,3.0,4.0,32.099238281249995,27.804723946512368,1003.1950757041066,84.0524684717621,234978.0
1712801481.05,0,0,36.0,1.0,3.0,4.0,32.117792968749995,27.784384416462053,1003.2004812267718,84.00709899906789,233727.5
1712801483.02,0,0,30.0,1.0,3.0,4.0,32.14044921875,27.778070342690185,1003.2057004244045,83.96329359563086,229254.0
1712801485.05,0,0,40.5,2.0,4.0,5.0,32.1633984375,27.78272670820327,1003.1983804285517,84.02473134947539,226110.5
1712801487.03,0,0,31.5,2.0,4.0,5.0,32.187031250000004,27.779230875062996,1003.205204363456,83.96745711869804,223730.0
1712801489.04,0,0,31.5,2.0,4.0,5.0,32.207148437499995,27.79186173077523,1003.2140461321827,83.89324733678986,223118.5
1712801491.03,0,0,41.0,2.0,4.0,5.0,32.23107421875,27.791127930724084,1003.213536338383,83.89752610310171,221393.0
1712801493.05,0,0,46.0,2.0,4.0,5.0,32.256171875,27.785017740934734,1003.2210315840543,83.83461839789297,218534.5
1712801495.03,0,0,33.5,2.0,4.0,5.0,32.28224609375,27.784463813196986,1003.2283970519107,83.77279992088957,215808.0
1712801497.09,0,0,31.5,2.0,4.0,5.0,32.30841796875,27.772969157008156,1003.2255027619183,83.79709167194405,215455.0
1712801499.0,0,0,31.5,2.0,4.0,5.0,32.331660156249995,27.769440846150275,1003.2221198311818,83.82548452504076,215596.5
1712801501.03,0,0,34.0,2.0,4.0,5.0,32.355097656249995,27.749505883101765,1003.2181876575277,83.85848732537414,218028.5
1712801503.02,0,0,41.5,2.0,4.0,5.0,32.355097656249995,27.749505883101765,1003.2181876575277,83.85848732537414,218028.5
1712801505.02,0,0,40.0,2.0,4.0,5.0,32.38126953125,27.727064297171133,1003.2092060921801,83.9338701520956,219988.5
1712801507.04,0,0,40.0,2.0,4.0,5.0,32.407343749999995,27.696407080961762,1003.2078746912057,83.94504475024885,218675.5
1712801509.02,0,0,39.5,2.0,4.0,5.0,32.43234375,27.662928138045793,1003.2039023813238,83.97838477603972,219185.5
1712801511.05,0,0,40.5,2.0,4.0,5.0,32.45763671875,27.61853876096753,1003.2056197979143,83.96397040902127,217375.0
1712801513.02,0,0,40.0,2.0,4.0,5.0,32.482929687500004,27.56595590291338,1003.2108081024619,83.92042434043674,218313.5
1712801515.05,0,0,39.0,2.0,4.0,5.0,32.50509765625,27.4830665949546,1003.2203998032845,83.83992081505767,223651.0
1712801517.01,0,0,39.0,2.0,4.0,5.0,32.524531249999995,27.380874170921295,1003.2298284923386,83.76078590417127,226183.5
1712801519.05,0,0,35.0,2.0,4.0,4.0,32.549433593749995,27.320138988531134,1003.2291562836326,83.76642778243878,224263.0
1712801521.03,0,0,45.5,2.0,4.0,4.0,32.57697265625,27.273285226250557,1003.2397720923332,83.67733010563924,221022.5
1712801523.05,0,0,36.5,2.0,4.0,4.0,32.59796875,27.250460224389748,1003.2422153184855,83.6568243921307,222592.0
1712801525.03,0,0,34.0,2.0,4.0,4.0,32.6141796875,27.224512130303584,1003.2359073843618,83.70976622450686,224641.0
1712801527.04,0,0,34.0,2.0,4.0,4.0,32.630976562499995,27.1931611333197,1003.2331687055098,83.73275169998377,225025.0
1712801529.02,0,0,31.5,2.0,4.0,4.0,32.6528515625,27.17041513527701,1003.2396601182254,83.67826994231544,222443.5
1712801531.05,0,0,43.5,2.0,4.0,4.0,32.6766796875,27.161467864548577,1003.2398106779366,83.67700629628045,220434.0
1712801533.02,0,0,40.0,2.0,4.0,4.0,32.701875,27.158087783238926,1003.2456850552462,83.62770346818354,218458.5
1712801535.03,0,0,40.0,2.0,4.0,4.0,32.7243359375,27.14084573759449,1003.2487917209955,83.60162966765114,218313.5
1712801537.02,0,0,43.5,2.0,4.0,4.0,32.74796875,27.112793539550154,1003.2390569502442,83.683332247289,219111.5
1712801539.05,0,0,33.5,2.0,4.0,4.0,32.77287109375,27.093027691177298,1003.2288029744016,83.7693931163299,217522.5
1712801541.02,0,0,46.0,2.0,4.0,4.0,32.79826171875,27.067850985854825,1003.2236935812825,83.81227604271515,215105.0
1712801543.05,0,0,34.5,2.0,4.0,4.0,32.8251171875,27.05097405063755,1003.2244681435228,83.80577514898633,213223.0
