Time,pm25,pm10,Temperature,Pressure,Humidity,Altitude,Gas
1707954495.000486,0,5,25.09015625,1004.8194959350839,46.46548498941333,70.42733489817724,196356
1707954496.0124278,0,8,25.080390625,1004.782794303214,46.58832956599992,70.7349798186245,198266
1707954497.0243952,0,8,25.06203125,1004.7492210556626,46.66055647903531,71.0164095809793,196914
1707954498.0364208,0,8,25.0294140625,1004.7112034630844,46.569734798734444,71.33510352533092,200213
1707954499.0477784,0,11,25.005,1004.662527023729,46.368414301800854,71.74316272462256,200445
1707954500.0594473,0,11,24.9731640625,1004.6326818037663,46.222144022946864,71.99336594573914,199867
1707954501.071569,0,11,24.946015625,1004.6070817986359,46.03328920481455,72.20798479821174,200561
1707954502.0836287,0,8,24.927265625,1004.590094561945,45.92596533312838,72.35040054372557,201846
1707954503.0957038,0,8,24.8946484375,1004.5744659624079,45.87881089907457,72.48142761722549,202317
1707954504.1078057,0,8,24.8411328125,1004.5693201551616,45.65020312789622,72.52456940402166,205802
1707954505.1198616,0,8,24.782734375,1004.5630375682019,45.27974246535439,72.5772420484697,205924
1707954506.1318743,0,8,24.7102734375,1004.5577681296787,44.87164659045318,72.62142075315883,207527
1707954507.1438978,0,8,24.624921875,1004.5537000694791,44.469227813542645,72.65552729140452,207776
1707954508.1559134,0,8,24.542890625,1004.5516082981998,44.14767740078776,72.67306470500354,209788
1707954509.1679351,0,8,24.46359375,1004.5505336827581,43.97358101869247,72.68207429400114,210043
1707954510.179956,0,8,24.3817578125,1004.5504256898755,43.83600588998995,72.68297970807906,211452
1707954511.19195,0,8,24.283515625,1004.5508809525898,43.72716637314128,72.67916277863274,211711
1707954512.2039478,0,8,24.1622265625,1004.5530151312083,43.585353206084726,72.6612698116553,215261
1707954513.2159367,0,8,24.0309765625,1004.540441336579,43.43042066976976,72.76668902853976,215395
1707954514.2279606,0,7,23.912421875,1004.5245741327525,43.28321714977449,72.89972184989395,216471
1707954515.2400877,0,7,23.814765625,1004.5206316305829,43.24784464875374,72.9327765947576,216067
1707954516.2519581,0,7,23.713984375,1004.520109693412,43.27893568722303,72.93715263066609,216607
1707954517.264037,0,7,23.5872265625,1004.5163910360982,43.33745828374469,72.96833072384452,217559
1707954518.2760627,0,7,23.473359375,1004.508009548987,43.379228394659144,73.03860341596106,217969
1707954519.2884336,0,7,23.3872265625,1004.5107943870214,43.515309040337584,73.01525451562634,217695
1707954520.2993047,0,6,23.3212109375,1004.5139696589172,43.769387876562995,72.98863216702951,215529
1707954521.3100693,0,6,23.269453125,1004.5165112198339,44.300008447403435,72.96732307381868,213274
1707954522.3208358,0,6,23.210078125,1004.5219789102878,45.0274602886457,72.92148071423334,213669
1707954523.3315904,1,9,23.1571484375,1004.5260026811262,45.55557962337024,72.88774463396157,213012
1707954524.3423622,1,9,23.109296875,1004.5246217318531,46.00567599463204,72.89932276993659,213012
1707954525.3543508,1,9,23.0641796875,1004.5260096476962,46.4015896983118,72.88768622497376,211840
1707954526.366483,1,6,23.037421875,1004.5266648424362,46.825343805405296,72.88219295475064,209408
1707954527.3785293,1,6,23.021015625,1004.5340352100352,47.51859375518171,72.82039867063068,208526
1707954528.3905725,1,6,23.0003125,1004.5377724579479,48.27024495460959,72.78906515538748,208025
1707954529.402609,1,4,22.9778515625,1004.5351819224243,48.742807314497504,72.81078449237157,209281
1707954530.4146528,1,4,22.9587109375,1004.5449192989695,48.85319891058564,72.72914548320757,209788
1707954531.4267452,1,4,22.956953125,1004.5523322375124,48.865514254282985,72.6669951933534,209915
1707954532.4387949,1,4,22.967109375,1004.5570144011588,49.004696478275214,72.62773999009273,208651
1707954533.450838,1,4,22.974921875,1004.5475374474762,49.24415432690448,72.70719480844174,208777
1707954534.4629152,1,4,22.9798046875,1004.548698287069,49.42698289654108,72.69746229193868,209915
1707954535.4747233,1,4,22.9743359375,1004.5431390769372,49.37601380826777,72.74407097119902,211711
1707954536.4868293,1,4,22.9690625,1004.5396183924809,49.09276484802412,72.77358866332084,212750
1707954537.4988816,1,4,22.9661328125,1004.5296481665334,48.7726734404531,72.85718026706911,213800
1707954538.510892,1,4,22.9587109375,1004.5243114339381,48.446354773409915,72.90192436723702,214595
1707954539.5229237,1,4,22.950703125,1004.5197282394864,48.101850410626504,72.94035082534616,215529
1707954540.5349627,1,4,22.942890625,1004.5189006479502,47.74559364818421,72.94728954051095,216201
1707954541.5469801,1,5,22.9378125,1004.5260044103684,47.45255073195028,72.88773013568013,215932
